Entidad,2015,2016,2017,2018,2020,2021,2022
AGS,74.8,79.8,74.2,78.2,78.3,81.4,82.5
BCS,84.4,86.6,86.0,83.7,84.8,85.5,89.5
BC,87.5,84.5,85.0,81.1,85.5,86.3,87.6
CAMP,73.5,71.2,71.9,71.5,70.7,77.8,75.1
COAH,74.5,78.3,74.0,76.7,78.4,79.7,82.7
COL,77.9,77.2,77.4,78.9,83.8,82.9,85.5
CHIS,57.2,57.6,53.0,58.1,54.8,55.6,61.2
CHIH,76.3,79.7,80.2,77.4,79.9,85.4,85.3
DF,79.7,79.9,81.9,81.4,84.3,88.4,87.7
DGO,69.6,78.4,70.8,74.7,77.0,77.2,79.7
GTO,65.8,64.8,69.7,67.7,70.4,76.7,77.4
GRO,54.9,58.1,57.2,59.5,65.6,67.3,67.0
HGO,66.7,74.6,67.3,66.9,72.9,76.8,72.8
JAL,76.2,81.4,79.3,80.4,77.8,83.5,84.1
MEX,72.8,75.0,72.9,74.0,79.5,79.8,82.2
MICH,60.1,73.0,66.7,71.9,70.0,74.4,74.7
MOR,66.4,75.1,72.1,76.6,75.6,80.4,83.2
NAY,73.6,80.3,70.6,71.6,74.5,80.6,80.0
NL,76.5,78.3,79.3,82.1,82.3,84.7,85.5
OAX,56.9,52.4,55.0,59.6,61.7,63.8,64.2
PUE,59.1,65.8,64.0,66.5,69.2,72.3,71.9
QRO,75.5,75.8,78.0,74.2,76.6,81.6,81.8
QROO,81.2,82.4,78.9,81.1,78.0,82.0,81.6
SLP,64.5,68.7,67.3,66.8,69.4,78.3,75.0
SIN,84.3,85.6,80.6,81.5,82.6,86.5,84.3
SON,86.3,87.3,90.7,87.4,87.0,85.1,86.7
TAB,71.1,72.5,71.7,70.3,72.9,73.0,77.2
TAMP,75.7,80.6,77.5,79.2,80.8,84.6,86.7
TLAX,64.6,69.5,65.2,71.1,75.4,76.9,74.6
VER,73.9,64.3,63.9,64.9,66.1,71.5,73.4
YUC,75.3,76.8,75.9,78.0,76.7,83.7,80.2
ZAC,61.5,66.0,64.3,65.9,70.4,73.2,73.6
