Entidad,2015,2016,2017,2018,2020,2021,2022
AGS,57.1,54.9,49.80,48.2,39.2,39.6,38.4
BCS,67.3,62.5,57.11,56.9,47.5,44.9,48.4
BC,61.2,49.6,51.72,49.0,42.3,43.6,41.3
CAMP,50,40.8,44.92,42.6,36.4,36.9,34.8
COAH,53.5,48.9,47.07,44.6,39.8,41.7,39.9
COL,56.3,49.2,47.64,48.7,45.3,43.7,42.8
CHIS,32.6,27.4,27.83,30.0,22.9,19.5,21.5
CHIH,54.1,52.4,50.04,50.3,41.8,45.9,42.0
DF,67.5,62.7,63.38,57.7,56.0,55.4,55.7
DGO,47.1,45.9,42.36,43.6,38.4,32.8,37.3
GTO,46.4,40.4,38.33,38.0,31.8,30.3,31.2
GRO,37.9,31.3,32.78,32.9,23.6,24.5,23.4
HGO,49.2,46.8,44.95,42.0,34.8,32.3,32.3
JAL,58.4,50.2,46.77,47.7,37.1,39.8,37.6
MEX,56,53.3,49.57,50.8,41.9,40.9,40.2
MICH,37.9,34.8,34.07,32.8,27.6,30.9,26.8
MOR,48.5,47.3,48.35,44.0,35.0,38.1,35.4
NAY,47.7,47.5,42.04,41.3,33.9,32.2,35.2
NL,60.2,52.5,50.97,50.1,48.8,46.4,47.4
OAX,38.1,28.8,34.25,33.1,25.6,23.4,24.6
PUE,45.4,41.8,41.43,39.5,31.3,29.9,31.7
QRO,52.3,50.1,49.31,48.5,35.5,41.9,44.6
QROO,56.7,51.2,51.13,49.7,45.8,42.8,39.5
SLP,47.7,43.1,41.57,40.5,35.4,35.2,32.9
SIN,49.8,48,43.89,46.3,36.1,39.3,35.3
SON,61,55.3,54.65,51.7,44.6,45.8,44.1
TAB,46.1,40.7,40.00,39.4,32.1,31.6,31.0
TAMP,49.3,49,45.86,47.6,39.1,39.4,38.6
TLAX,50,46.2,42.10,45.7,36.8,33.6,36.5
VER,41,37.4,35.09,36.0,28.6,29.8,28.1
YUC,48.1,46.7,45.89,45.8,35.4,39.7,38.8
ZAC,43.1,39.5,36.90,37.5,31.5,29.3,29.9
