año,total,primaria,secundaria,preparatoria,licenciatura,posgrado,no_especificado
2009,34 735 349,7 394 904,8 494 232,9 322 305,8 126 602, 709 051, 688 255
2010,38 862 930,8 480 241,9 104 808,10 765 174,8 860 443, 674 682, 977 582
2011,42 449 298,9 459 163,10 381 254,11 628 813,9 302 661, 677 595, 999 812
2012,44 717 765,10 021 896,10 875 805,12 143 918,9 935 275, 801 867, 939 004
2013,49 458 088,10 910 455,11 921 099,13 712 407,10 792 895, 972 880,1 148 352
2014,49 448 510,11 178 412,12 106 694,13 663 930,10 600 643, 755 441,1 143 390
2015,54 783 584,11 712 327,13 351 683,14 923 684,12 466 842,1 084 858,1 244 190
2016,50 767 421,10 238 203,11 851 295,12 968 377,13 321 852,1 007 084,1 380 610
2017,49 826 347,9 096 774,10 965 288,12 632 861,14 730 704,1 203 246,1 197 474
2018,49 935 658,8 675 141,10 768 064,13 103 670,14 878 352,1 142 026,1 368 405
2019,48 362 012,7 700 491,9 754 920,13 576 613,15 443 740,1 403 146, 483 102
2020,43 534 080,6 101 998,7 989 019,11 393 502,15 963 602,1 399 169, 686 790
2021,43 844 751,5 664 951,7 271 891,12 564 861,16 421 294,1 432 909, 488 845
2022,43 779 173,5 017 530,7 397 823,12 149 713,17 007 226,1 479 183, 727 698
