año,total,hombres,mujeres
2009,34 735 349,17 532 892,17 202 457
2010,38 862 930,19 676 553,19 186 377
2011,42 449 298,21 433 872,21 015 426
2012,44 717 765,22 823 288,21 894 477
2013,49 458 088,24 703 392,24 754 696
2014,49 448 510,24 859 924,24 588 586
2015,54 783 584,27 816 563,26 967 021
2016,50 767 421,24 879 017,25 888 404
2017,49 826 347,25 175 712,24 650 635
2018,49 935 658,24 745 912,25 189 746
2019,48 362 012,24 127 698,24 234 314
2020,43 534 080,21 883 892,21 650 188
2021,43 844 751,21 931 734,21 913 017
2022,43 779 173,21 882 125,21 897 048
