año,tic,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila de Zaragoza,Colima,Chiapas,Chihuahua,Ciudad de México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán de Ocampo,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz de Ignacio de la Llave,Yucatán,Zacatecas
2015,Computadora, 655 749,2 136 228, 392 104, 379 596,1 387 753, 347 672,1 450 493,1 733 197,5 710 798, 726 050,2 395 995,1 160 501,1 271 096,4 112 693,8 209 694,1 508 926, 828 141, 496 019,2 819 417,1 318 367,2 525 144, 986 908, 821 629,1 165 823,1 308 081,1 536 462, 954 130,1 490 693, 558 390,2 869 109, 926 417, 600 309
2016,Computadora, 638 932,2 035 757, 320 203, 310 588,1 289 369, 311 369,1 236 992,1 688 633,5 323 670, 712 882,2 121 565, 956 888,1 234 660,3 549 806,7 975 279,1 390 472, 820 224, 499 753,2 508 652,1 009 085,2 356 412, 967 064, 769 952,1 065 648,1 270 080,1 414 419, 843 065,1 513 620, 526 981,2 637 374, 911 836, 556 191
2017,Computadora, 569 417,1 838 272, 361 609, 365 068,1 259 534, 315 082,1 301 393,1 715 374,5 438 607, 689 971,2 050 403,1 029 386,1 187 220,3 328 373,7 444 322,1 397 362, 826 621, 464 817,2 389 265,1 235 859,2 408 586, 940 315, 776 828,1 047 708,1 190 484,1 458 314, 850 783,1 468 859, 489 314,2 571 695, 897 472, 518 034
2018,Computadora, 587 754,1 946 025, 333 396, 333 221,1 208 390, 317 670,1 397 535,1 661 672,4 964 213, 696 711,2 060 472,1 030 208,1 153 125,3 516 834,7 820 814,1 343 687, 785 443, 453 637,2 498 103,1 176 256,2 293 013, 993 411, 810 535,1 024 251,1 248 714,1 345 050, 830 818,1 499 011, 530 464,2 611 581, 926 815, 536 829
2020,Computadora, 512 997,1 638 223, 313 972, 309 018,1 137 164, 306 751,1 136 214,1 440 219,4 902 179, 639 453,1 780 655, 758 357, 992 766,2 855 151,6 660 199,1 194 907, 637 759, 382 441,2 622 136, 963 048,1 871 488, 767 608, 798 914, 921 597,1 003 525,1 202 085, 704 124,1 270 513, 451 136,2 133 579, 761 195, 464 707
2021,Computadora, 520 973,1 559 126, 333 571, 317 781,1 224 082, 303 240, 972 442,1 585 554,4 868 837, 552 479,1 721 549, 787 877, 926 636,3 069 405,6 483 460,1 361 686, 702 470, 368 426,2 584 059, 893 344,1 809 059, 942 473, 748 522, 919 333,1 105 874,1 249 536, 700 535,1 290 708, 416 549,2 232 486, 861 420, 431 259
2022,Computadora, 521 331,1 712 135, 321 274, 296 805,1 194 984, 302 992,1 083 542,1 460 114,4 916 602, 633 454,1 791 286, 754 379, 935 388,2 946 753,6 502 768,1 184 161, 657 869, 406 622,2 666 433, 942 026,1 922 265,1 018 937, 698 864, 858 066,1 001 873,1 226 571, 685 670,1 267 184, 459 355,2 118 270, 849 105, 442 095
2015,Internet, 724 885,2 357 056, 460 642, 438 334,1 594 733, 407 233,1 516 033,1 915 636,6 123 330, 817 676,2 690 399,1 272 651,1 424 523,4 663 270,9 033 285,1 713 749, 969 467, 570 239,3 261 921,1 424 186,2 645 385,1 081 923, 976 304,1 251 080,1 561 095,1 714 092, 977 082,1 904 710, 604 487,3 426 702,1 186 443, 649 651
2016,Internet, 767 611,2 471 906, 449 773, 426 920,1 744 970, 406 852,1 476 649,2 068 034,6 206 111, 920 422,2 771 600,1 277 032,1 467 199,4 802 184,9 503 452,2 042 704,1 064 357, 649 830,3 313 185,1 279 223,2 864 160,1 143 007,1 101 305,1 329 319,1 676 344,1 821 633,1 192 119,2 062 016, 628 368,3 494 058,1 241 970, 696 816
2017,Internet, 800 851,2 567 245, 538 630, 530 382,1 860 510, 452 430,1 740 738,2 402 114,6 668 641, 988 821,3 094 282,1 487 335,1 563 998,5 001 744,10 104 187,2 172 084,1 140 267, 706 822,3 520 256,1 709 892,3 276 375,1 259 940,1 177 427,1 455 103,1 799 674,2 090 849,1 302 781,2 230 571, 674 355,3 860 267,1 360 764, 750 274
