año,total,economicamente_activos,economicamente_inactivos
2009,22 930 093,13 705 446,9 224 647
2010,27 041 220,16 048 777,10 992 443
2011,30 374 791,17 925 677,12 449 114
2012,33 202 186,20 170 912,13 031 274
2013,37 082 542,22 814 795,14 267 747
2014,37 930 086,23 047 648,14 882 438
2015,48 540 604,31 410 497,17 130 107
2016,51 517 109,34 675 373,16 841 736
2017,57 414 902,39 302 106,18 112 796
2018,60 137 754,41 425 804,18 711 950
2019,65 822 182,46 253 805,19 568 377
2020,67 962 415,45 300 608,22 661 807
2021,72 823 227,49 344 917,23 478 310
2022,77 813 160,52 695 143,25 118 017
