año,total,rango_edad_6_12,rango_edad_12_17,rango_edad_18_24,rango_edad_25_34,rango_edad_35_44,rango_edad_45_54,rango_edad_mas_55
2009,27 206 174,2 184 737,7 904 753,6 267 898,4 676 758,3 494 082,1 766 372, 911 574
2010,32 807 240,3 196 370,8 696 398,7 530 295,5 681 259,4 031 869,2 427 509,1 243 540
2011,37 619 377,4 304 052,9 626 304,8 081 297,6 567 998,4 707 516,2 879 647,1 452 563
2012,40 916 394,4 694 099,9 904 919,8 419 077,7 923 358,4 957 477,3 111 943,1 905 521
2013,46 026 450,5 393 665,10 876 958,9 622 940,8 324 737,6 070 250,3 750 549,1 987 351
2014,47 441 244,5 777 496,11 105 387,9 641 724,8 689 093,6 432 766,3 727 872,2 066 906
2015,61 358 202,7 136 480,11 880 510,12 018 311,12 243 819,9 456 267,5 438 844,3 183 971
2016,64 361 129,7 005 594,11 991 047,12 162 343,12 988 815,9 979 706,6 150 402,4 083 222
2017,70 289 609,7 083 123,12 369 073,12 860 066,14 202 535,11 595 119,7 602 407,4 577 286
2018,73 142 199,7 375 220,11 982 526,12 787 279,14 778 731,11 797 333,8 535 352,5 885 758
2019,79 489 450,7 989 209,11 933 408,12 671 101,15 343 643,13 767 258,10 193 139,7 591 692
2020,82 978 847,9 089 485,12 180 049,13 006 357,15 816 059,13 607 337,10 755 630,8 523 930
2021,88 562 249,9 573 531,12 842 743,13 855 256,16 696 158,14 048 125,11 544 279,10 002 157
2022,93 052 870,9 015 542,13 018 559,13 838 534,17 572 153,15 167 548,12 890 873,11 549 661
