Entidad,2015,2016,2017,2018,2020,2021,2022
AGS,63.2,65.9,70.0,72.6,78.1,80.4,86.9
BCS,74.2,75.9,79.8,80.3,83.8,86.8,89.8
BC,71.9,69.6,77.0,76.0,81.0,83.5,84.7
CAMP,57.7,56.1,65.3,65.6,70.2,75.7,79.8
COAH,61.5,66.2,69.5,69.6,76.4,80.8,81.5
COL,65.9,64.3,68.4,74.0,81.9,82.9,85.3
CHIS,34.1,32.7,37.2,41.7,45.0,46.1,56.7
CHIH,59.8,64.2,70.1,71.9,77.9,80.6,82.5
DF,72.3,73.1,77.7,76.7,84.4,88.3,89.7
DGO,53.0,59.3,60.7,66.0,77.3,70.9,78.9
GTO,52.1,52.7,57.9,60.6,67.0,71.9,75.9
GRO,41.6,41.7,47.4,51.0,60.2,61.4,67.5
HGO,55.2,55.7,59.2,56.7,68.9,69.3,75.4
JAL,66.3,67.8,70.3,72.7,75.0,82.2,83.3
MEX,61.6,63.5,67.3,70.0,77.7,81.8,81.9
MICH,43.1,51.1,53.0,57.7,59.9,66.8,67.9
MOR,56.8,61.4,66.7,67.7,72.5,78.3,78.1
NAY,54.8,61.8,63.9,62.8,67.5,75.9,78.9
NL,69.6,69.3,75.1,77.9,82.8,84.2,86.1
OAX,41.1,36.6,47.4,47.6,54.1,56.9,62.5
PUE,47.5,50.8,56.4,56.3,62.6,66.9,70.1
QRO,57.3,59.2,66.1,69.1,70.0,79.8,84.1
QROO,67.4,73.3,77.5,77.0,80.6,82.3,83.6
SLP,51.2,53.7,57.7,60.4,66.4,74.3,75.1
SIN,59.4,63.3,66.3,71.3,75.5,79.7,81.8
SON,68.1,71.2,78.3,78.9,82.6,85.8,85.9
TAB,47.2,57.6,61.2,55.2,68.2,68.7,77.3
TAMP,63.0,66.8,69.6,72.8,80.3,81.9,84.6
TLAX,54.2,55.1,58.0,62.0,72.5,74.4,77.4
VER,48.9,49.5,52.7,53.5,58.7,67.1,72.7
YUC,61.6,63.6,69.6,70.3,74.3,79.9,82.9
ZAC,46.6,49.5,53.4,56.4,63.7,72.3,77.7
