año,total,diario,semanal,mensual
2009,27 206 174,7 335 357,17 685 672,1 819 699
2010,32 807 240,11 467 431,17 968 396,2 762 883
2011,37 619 377,13 021 677,20 823 382,3 109 226
2012,40 916 394,15 960 464,20 925 225,3 255 726
2013,46 026 450,21 312 125,20 832 744,3 263 096
2014,47 441 244,21 831 357,21 361 154,3 674 172
2015,61 358 202,36 688 995,19 196 586,4 503 768
2016,64 361 129,50 695 829,11 090 591,2 236 766
2017,70 289 609,56 987 308,11 062 344,1 806 972
2018,73 142 199,58 083 981,12 938 000,1 727 572
2019,79 489 450,68 722 677,8 885 010,1 597 944
2020,82 978 847,74 030 218,7 691 241, 857 635
2021,88 562 249,78 994 093,8 285 427, 877 178
2022,93 052 870,84 644 123,7 443 738, 749 190
